work_id,subject
160228,Still-Life
160236,Still-Life
160244,Still-Life
160252,Still-Life
160260,Still-Life
160268,Still-Life
125752,Horses
23448,Horses
125763,Horses
24532,Marine Art/Maritime
124470,Marine Art/Maritime
124479,Marine Art/Maritime
124488,Marine Art/Maritime
124497,Marine Art/Maritime
124506,Marine Art/Maritime
124515,Marine Art/Maritime
124524,Marine Art/Maritime
124533,Marine Art/Maritime
124542,Marine Art/Maritime
124551,Marine Art/Maritime
124560,Marine Art/Maritime
124569,Marine Art/Maritime
124578,Marine Art/Maritime
124587,Marine Art/Maritime
135881,Portraits
135892,Portraits
135903,Portraits
135914,Portraits
135925,Portraits
135936,Portraits
135947,Portraits
135958,Portraits
135969,Portraits
31778,Portraits
135980,Portraits
147731,Musics
147731,Portraits
147742,Portraits
147753,Portraits
147764,Portraits
147815,Portraits
147797,Portraits
147806,Portraits
147775,Musics
147775,Portraits
147786,Dancers
147786,Portraits
24536,Portraits
24536,U.S. Presidents
122171,Dogs
122171,Portraits
122182,Portraits
122193,Portraits
122204,Portraits
122215,Portraits
122224,Portraits
194065,Portraits
194074,Portraits
194148,Portraits
194130,Portraits
194121,Portraits
194083,Portraits
194092,Portraits
194101,Portraits
194155,Portraits
194110,Portraits
194162,Portraits
194169,Portraits
194139,Portraits
160324,Portraits
160332,Portraits
24029,Rivers/Lakes
24035,Rivers/Lakes
24037,Rivers/Lakes
24041,Horses
24047,Horses
24064,Rivers/Lakes
24066,Rivers/Lakes
24068,Rivers/Lakes
204794,Rivers/Lakes
29914,Flowers
126089,Flowers
126219,Bridges
126219,Rivers/Lakes
126109,Flowers
126164,Flowers
126175,Spring
126294,Flowers
126241,Flowers
126241,Still-Life
29922,Still-Life
126131,Flowers
126153,Flowers
126274,Flowers
126142,Flowers
5093,Landscape Art
5093,Rivers/Lakes
5095,Landscape Art
5097,Horses
5097,Landscape Art
5099,Landscape Art
5101,Autumn/Fall
5101,Landscape Art
5103,Landscape Art
5105,Landscape Art
5105,Spring
5109,Landscape Art
5109,Rivers/Lakes
5111,Landscape Art
5115,Deers
5115,Landscape Art
5113,Deers
5113,Landscape Art
5117,Landscape Art
5117,Rivers/Lakes
5119,Landscape Art
5121,Landscape Art
5125,Landscape Art
5127,Landscape Art
5129,Landscape Art
5133,Landscape Art
5133,Rivers/Lakes
5135,Landscape Art
5135,Rivers/Lakes
5137,Landscape Art
5141,Landscape Art
5143,Landscape Art
5155,Landscape Art
5155,Rivers/Lakes
5161,Landscape Art
5163,Landscape Art
5221,Landscape Art
128800,Rivers/Lakes
126577,Winter
25863,Jesus Christ
25871,Christianity
25873,Christianity
25875,Portraits
25879,Portraits
25882,Portraits
25884,Portraits
25888,Portraits
25890,Portraits
25892,Portraits
25894,Portraits
25900,Portraits
25902,Portraits
